எண்,பால்,இயல்,அதிகாரம்,குறள்
212,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.18. ஒப்புரவறிதல்,"தாளாற்றித் தந்த பொருளெல்லாம் தக்கார்க்கு
வேளாண்மை செய்தற் பொருட்டு."
213,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.18. ஒப்புரவறிதல்,"புத்தே ளுலகத்தும் ஈண்டும் பெறலரிதே
ஒப்புரவின் நல்ல பிற."
214,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.18. ஒப்புரவறிதல்,"ஒத்த தறவோன் உயிர்வாழ்வான் மற்றையான்
செத்தாருள் வைக்கப் படும்."
215,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.18. ஒப்புரவறிதல்,"ஊருணி நீர்நிறைந் தற்றே உலகவாம்
பேரறி வாளன் திரு."
216,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.18. ஒப்புரவறிதல்,"பயன்மரம் உள்ளூர்ப் பழுத்தற்றால் செல்வம்
நயனுடை யான்கண் படின்."
217,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.18. ஒப்புரவறிதல்,"மருந்தாகித் தப்பா மரத்தற்றால் செல்வம்
பெருந்தகை யான்கண் படின்."
218,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.18. ஒப்புரவறிதல்,"இடனில் பருவத்தும் ஒப்புரவிற்கு ஒல்கார்
கடனறி காட்சி யவர்."
219,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.18. ஒப்புரவறிதல்,"நயனுடையான் நல்கூர்ந்தா னாதல் செயும்நீர
செய்யாது அமைகலா வாறு."
220,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.18. ஒப்புரவறிதல்,"ஒப்புரவி னால்வரும் கேடெனின் அஃதொருவன்
விற்றுக்கோள் தக்க துடைத்து."
221,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.19. ஈகை,"வறியார்க்கொன்று ஈவதே ஈகைமற் றெல்லாம்
குறியெதிர்ப்பை நீர துடைத்து."
222,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.19. ஈகை,"நல்லாறு எனினும் கொளல்தீது மேலுலகம்
இல்லெனினும் ஈதலே நன்று."
223,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.19. ஈகை,"இலனென்னும் எவ்வம் உரையாமை ஈதல்
குலனுடையான் கண்ணே யுள."
224,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.19. ஈகை,"இன்னாது இரக்கப் படுதல் இரந்தவர்
இன்முகங் காணும் அளவு."
225,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.19. ஈகை,"ஆற்றுவார் ஆற்றல் பசிஆற்றல் அப்பசியை
மாற்றுவார் ஆற்றலின் பின்."
226,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.19. ஈகை,"அற்றார் அழிபசி தீர்த்தல் அஃதொருவன்
பெற்றான் பொருள்வைப் புழி."
227,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.19. ஈகை,"பாத்தூண் மரீஇ யவனைப் பசியென்னும்
தீப்பிணி தீண்டல் அரிது."
228,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.19. ஈகை,"ஈத்துவக்கும் இன்பம் அறியார்கொல் தாமுடைமை
வைத்திழக்கும் வன்க ணவர்."
229,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.19. ஈகை,"இரத்தலின் இன்னாது மன்ற நிரப்பிய
தாமே தமியர் உணல்."
230,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.19. ஈகை,"சாதலின் இன்னாத தில்லை இனிததூஉம்
ஈதல் இயையாக் கடை."
231,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.20. புகழ்,"ஈதல் இசைபட வாழ்தல் அதுவல்லது
ஊதியம் இல்லை உயிர்க்கு."
232,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.20. புகழ்,"உரைப்பார் உரைப்பவை எல்லாம் இரப்பார்க்கொன்று
ஈவார்மேல் நிற்கும் புகழ்."
233,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.20. புகழ்,"ஒன்றா உலகத்து உயர்ந்த புகழல்லால்
பொன்றாது நிற்பதொன் றில்."
234,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.20. புகழ்,"நிலவரை நீள்புகழ் ஆற்றின் புலவரைப்
போற்றாது புத்தேள் உலகு."
235,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.20. புகழ்,"நத்தம்போல் கேடும் உளதாகும் சாக்காடும்
வித்தகர்க் கல்லால் அரிது."
236,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.20. புகழ்,"தோன்றின் புகழொடு தோன்றுக அஃதிலார்
தோன்றலின் தோன்றாமை நன்று."
237,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.20. புகழ்,"புகழ்பட வாழாதார் தந்நோவார் தம்மை
இகழ்வாரை நோவது எவன்?"
238,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.20. புகழ்,"வசையென்ப வையத்தார்க் கெல்லாம் இசையென்னும்
எச்சம் பெறாஅ விடின்."
239,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.20. புகழ்,"வசையிலா வண்பயன் குன்றும் இசையிலா
யாக்கை பொறுத்த நிலம்."
240,1. அறத்துப்பால்,1.2. இல்லறவியல்,1.2.20. புகழ்,"வசையொழிய வாழ்வாரே வாழ்வார் இசையொழிய
வாழ்வாரே வாழா தவர்."
241,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.1 அருளுடைமை,"அருட்செல்வம் செல்வத்துள் செல்வம் பொருட்செல்வம்
பூரியார் கண்ணும் உள."
242,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.1 அருளுடைமை,"நல்லாற்றாள் நாடி அருளாள்க பல்லாற்றால்
தேரினும் அஃதே துணை."
243,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.1 அருளுடைமை,"அருள்சேர்ந்த நெஞ்சினார்க் கில்லை இருள்சேர்ந்த
இன்னா உலகம் புகல்."
244,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.1 அருளுடைமை,"மன்னுயிர் ஓம்பி அருளாள்வார்க் கு இல்லென்ப
தன்னுயிர் அஞ்சும் வினை."
245,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.1 அருளுடைமை,"அல்லல் அருளாள்வார்க்கு இல்லை வளிவழங்கும்
மல்லன்மா ஞாலங் கரி."
246,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.1 அருளுடைமை,"பொருள்நீங்கிப் பொச்சாந்தார் என்பர் அருள்நீங்கி
அல்லவை செய்தொழுகு வார்."
247,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.1 அருளுடைமை,"அருளில்லார்க்கு அவ்வுலகம் இல்லை பொருளில்லார்க்கு
இவ்வுலகம் இல்லாகி யாங்கு."
248,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.1 அருளுடைமை,"பொருளற்றார் பூப்பர் ஒருகால் அருளற்றார்
அற்றார்மற் றாதல் அரிது."
249,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.1 அருளுடைமை,"தெருளாதான் மெய்ப்பொருள் கண்டற்றால் தேரின்
அருளாதான் செய்யும் அறம்."
250,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.1 அருளுடைமை,"வலியார்முன் தன்னை நினைக்க தான் தன்னின்
மெலியார்மேல் செல்லு மிடத்து."
251,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.2. புலான்மறுத்தல்,"தன்னூன் பெருக்கற்குத் தான்பிறிது ஊனுண்பான்
எங்ஙனம் ஆளும் அருள்?"
252,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.2. புலான்மறுத்தல்,"பொருளாட்சி போற்றாதார்க்கு இல்லை அருளாட்சி
ஆங்கில்லை ஊன்தின் பவர்க்கு."
253,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.2. புலான்மறுத்தல்,"படைகொண்டார் நெஞ்சம்போல் நன்னூக்காது ஒன்றன்
உடல்சுவை உண்டார் மனம்."
254,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.2. புலான்மறுத்தல்,"ருளல்லது யாதெனின் கொல்லாமை கோறல்
பொருளல்லது அவ்வூன் தினல்."
255,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.2. புலான்மறுத்தல்,"உண்ணாமை உள்ளது உயிர்நிலை ஊனுண்ண
அண்ணாத்தல் செய்யாது அளறு."
256,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.2. புலான்மறுத்தல்,"தினற்பொருட்டால் கொல்லாது உலகெனின் யாரும்
விலைப்பொருட்டால் ஊன்றருவா ரில்."
257,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.2. புலான்மறுத்தல்,"உண்ணாமை வேண்டும் புலாஅல் பிறிதொன்றன்
புண்ணது உணர்வார்ப் பெறின்."
258,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.2. புலான்மறுத்தல்,"செயிரின் தலைப்பிரிந்த காட்சியார் உண்ணார்
உயிரின் தலைப்பிரிந்த ஊன்."
259,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.2. புலான்மறுத்தல்,"அவிசொரிந் தாயிரம் வேட்டலின் ஒன்றன்
உயிர்செகுத் துண்ணாமை நன்று."
260,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.2. புலான்மறுத்தல்,"கொல்லான் புலாலை மறுத்தானைக் கைகூப்பி
எல்லா உயிருந் தொழும்."
261,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.3 தவம்,"உற்றநோய் நோன்றல் உயிர்க்குறுகண் செய்யாமை
அற்றே தவத்திற் குரு."
262,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.3 தவம்,"தவமும் தவமுடையார்க்கு ஆகும் அதனை
அஃதிலார் மேற்கொள் வது."
263,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.3 தவம்,"துறந்தார்க்குத் துப்புரவு வேண்டி மறந்தார்கொல்
மற்றை யவர்கள் தவம்."
264,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.3 தவம்,"ஒன்னார்த் தெறலும் உவந்தாரை ஆக்கலும்
எண்ணின் தவத்தான் வரும்."
265,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.3 தவம்,"வேண்டிய வேண்டியாங் கெய்தலால் செய்தவம்
ஈண்டு முயலப் படும்."
266,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.3 தவம்,"தவஞ் செய்வார் தங்கருமஞ் செய்வார்மற் றல்லார்
அவஞ்செய்வார் ஆசையுட் பட்டு."
267,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.3 தவம்,"சுடச்சுடரும் பொன்போல் ஒளிவிடும் துன்பஞ்
சுடச்சுட நோற்கிற் பவர்க்கு."
268,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.3 தவம்,"தன்னுயிர் தான்அறப் பெற்றானை ஏனைய
மன்னுயி ரெல்லாந் தொழும்."
269,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.3 தவம்,"கூற்றம் குதித்தலும் கைகூடும் நோற்றலின்
ஆற்றல் தலைப்பட் டவர்க்குல்."
270,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.3 தவம்,"இலர்பல ராகிய காரணம் நோற்பார்
சிலர்பலர் நோலா தவர்."
271,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.4. கூடாவொழுக்கம்,"வஞ்ச மனத்தான் படிற்றொழுக்கம் பூதங்கள்
ஐந்தும் அகத்தே நகும்."
272,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.4. கூடாவொழுக்கம்,"வானுயர் தோற்றம் எவன்செய்யும் தன்னெஞ்சம்
தான்அறி குற்றப் படின்."
273,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.4. கூடாவொழுக்கம்,"வலியில் நிலைமையான் வல்லுருவம் பெற்றம்
புலியின்தோல் போர்த்துமேய்ந் தற்று."
274,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.4. கூடாவொழுக்கம்,"தவமறைந்து அல்லவை செய்தல் புதல்மறைந்து
வேட்டுவன் புள்சிமிழ்த் தற்று."
275,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.4. கூடாவொழுக்கம்,"பற்றற்றேம் என்பார் படிற்றொழுக்கம் எற்றெற்றென்று
ஏதம் பலவுந் தரும்."
276,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.4. கூடாவொழுக்கம்,"நெஞ்சின் துறவார் துறந்தார்போல் வஞ்சித்து
வாழ்வாரின் வன்கணார் இல்."
277,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.4. கூடாவொழுக்கம்,"புறங்குன்றி கண்டனைய ரேனும் அகங்குன்றி
முக்கிற் கரியார் உடைத்து."
278,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.4. கூடாவொழுக்கம்,"மனத்தது மாசாக மாண்டார் நீராடி
மறைந்தொழுகு மாந்தர் பலர்."
279,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.4. கூடாவொழுக்கம்,"கணைகொடிது யாழ்கோடு செவ்விதுஆங் கன்ன
வினைபடு பாலால் கொளல்."
280,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.4. கூடாவொழுக்கம்,"மழித்தலும் நீட்டலும் வேண்டா உலகம்
பழித்தது ஒழித்து விடின்."
281,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.5. கள்ளாமை,"எள்ளாமை வேண்டுவான் என்பான் எனைத்தொன்றும்
கள்ளாமை காக்கதன் நெஞ்சு."
282,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.5. கள்ளாமை,"உள்ளத்தால் உள்ளலும் தீதே பிறன்பொருளைக்
கள்ளத்தால் கள்வேம் எனல்."
283,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.5. கள்ளாமை,"களவினால் ஆகிய ஆக்கம் அளவிறந்து
ஆவது போலக் கெடும்."
284,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.5. கள்ளாமை,"களவின்கண் கன்றிய காதல் விளைவின்கண்
வீயா விழுமம் தரும்."
285,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.5. கள்ளாமை,"அருள்கருதி அன்புடைய ராதல் பொருள்கருதிப்
பொச்சாப்புப் பார்ப்பார்கண் இல்."
286,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.5. கள்ளாமை,"அளவின்கண் நின்றொழுகல் ஆற்றார் களவின்கண்
கன்றிய காத லவர்."
287,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.5. கள்ளாமை,"களவென்னும் காரறி வாண்மை அளவென்னும்
ஆற்றல் புரிந்தார்கண்ட இல்."
288,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.5. கள்ளாமை,"அளவறாந்தார் நெஞ்சத் தறம்போல நிற்கும்
களவறிந்தார் நெஞ்சில் கரவு."
289,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.5. கள்ளாமை,"அளவல்ல செய்தாங்கே வீவர் களவல்ல
மற்றைய தேற்றா தவர்."
290,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.5. கள்ளாமை,"கள்வார்க்குத் தள்ளும் உயிர்நிலை கள்வார்க்குத்
தள்ளாது புத்தே ளுளகு."
291,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.6. வாய்மை,"வாய்மை எனப்படுவது யாதெனின் யாதொன்றும்
தீமை இலாத சொலல்."
292,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.6. வாய்மை,"பொய்மையும் வாய்மை யிடத்த புரைதீர்ந்த
நன்மை பயக்கும் எனின்."
293,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.6. வாய்மை,"தன்நெஞ் சறிவது பொய்யற்க பொய்த்தபின்
தன்நெஞ்சே தன்னைச் சுடும்."
294,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.6. வாய்மை,"உள்ளத்தாற் பொய்யா தொழுகின் உலகத்தார்
உள்ளத்து ளெல்லாம் உளன்."
295,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.6. வாய்மை,"மனத்தொடு வாய்மை மொழியின் தவத்தொடு
தானஞ்செய் வாரின் தலை."
296,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.6. வாய்மை,"பொய்யாமை அன்ன புகழில்லை எய்யாமை
எல்லா அறமுந் தரும்."
297,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.6. வாய்மை,"பொய்யாமை பொய்யாமை ஆற்றின் அறம்பிற
செய்யாமை செய்யாமை நன்று."
298,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.6. வாய்மை,"புறள்தூய்மை நீரான் அமையும் அகந்தூய்மை
வாய்மையால் காணப் படும்."
299,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.6. வாய்மை,"எல்லா விளக்கும் விளக்கல்ல சான்றோர்க்குப்
பொய்யா விளக்கே விளக்கு."
300,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.6. வாய்மை,"யாமெய்யாக் கண்டவற்றுள் இல்லை எனைத்தொன்றும்
வாய்மையின் நல்ல பிற."
301,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.7 வெகுளாமை,"செல்லிடத்துக் காப்பான் சினங்காப்பான் அல்லிடத்துக்
காக்கின்என் காவாக்கால் என்?"
302,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.7 வெகுளாமை,"செல்லா இடத்துச் சினந்தீது செல்லிடத்தும்
இல்அதனின் தீய பிற."
303,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.7 வெகுளாமை,"மறத்தல் வெகுளியை யார்மாட்டும் தீய
பிறத்தல் அதனான் வரும்."
304,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.7 வெகுளாமை,"நகையும் உவகையும் கொல்லும் சினத்தின்
பகையும் உளவோ பிற."
305,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.7 வெகுளாமை,"தன்னைத்தான் காக்கின் சினங்காக்க காவாக்கால்
தன்னையே கொல்லுஞ் சினம்."
306,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.7 வெகுளாமை,"சினமென்னும் சேர்ந்தாரைக் கொல்லி இனமென்னும்
ஏமப் புணையைச் சுடும்."
307,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.7 வெகுளாமை,"சினத்தைப் பொருளென்று கொண்டவன் கேடு
நிலத்தறைந்தான் கைபிழையா தற்று."
308,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.7 வெகுளாமை,"இணர்எரி தோய்வன்ன இன்னா செயினும்
புணரின் வெகுளாமை நன்று."
309,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.7 வெகுளாமை,"உள்ளிய தெல்லாம் உடனெய்தும் உள்ளத்தால்
உள்ளான் வெகுளி எனின்."
310,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.7 வெகுளாமை,"இறந்தார் இறந்தார் அனையர் சினத்தைத்
துறந்தார் துறந்தார் துணை."
311,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.8 இன்னாசெய்யாமை,"சிறப்பீனும் செல்வம் பெறினும் பிறர்க்கு இன்னா
செய்யாமை மாசற்றார் கோள்."
312,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.8 இன்னாசெய்யாமை,"கறுத்துஇன்னா செய்தவக் கண்ணும் மறுத்தின்னா
செய்யாமை மாசற்றார் கோள்."
313,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.8 இன்னாசெய்யாமை,"செய்யாமல் செற்றார்க்கும் இன்னாத செய்தபின்
உய்யா விழுமந் தரும்."
314,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.8 இன்னாசெய்யாமை,"இன்னாசெய் தாரை ஒறுத்தல் அவர்நாண
நன்னயஞ் செய்து விடல்."
315,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.8 இன்னாசெய்யாமை,"அறிவினான் ஆகுவ துண்டோ பிறிதின்நோய்
தந்நோய்போல் போற்றாக் கடை."
316,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.8 இன்னாசெய்யாமை,"இன்னா எனத்தான் உணர்ந்தவை துன்னாமை
வேண்டும் பிறன்கண் செயல்."
317,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.8 இன்னாசெய்யாமை,"எனைத்தானும் எஞ்ஞான்றும் யார்க்கும் மனத்தானாம்
மாணாசெய் யாமை தலை."
318,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.8 இன்னாசெய்யாமை,"தன்னுயிர்ககு ஏன்னாமை தானறிவான் என்கொலோ
மன்னுயிர்க்கு இன்னா செயல்."
319,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.8 இன்னாசெய்யாமை,"பிறர்க்கின்னா முற்பகல் செய்யின் தமக்கு இன்னா
பிற்பகல் தாமே வரும்."
320,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.8 இன்னாசெய்யாமை,"நோயெல்லாம் நோய்செய்தார் மேலவாம் நோய்செய்யார்
நோயின்மை வேண்டு பவர்."
321,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.9 கொல்லாமை,"அறவினை யாதெனின் கொல்லாமை கோறல்
பிறவினை எல்லாந் தரும்."
322,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.9 கொல்லாமை,"பகுத்துண்டு பல்லுயிர் ஓம்புதல் நூலோர்
தொகுத்தவற்றுள் எல்லாந் தலை."
323,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.9 கொல்லாமை,"ஒன்றாக நல்லது கொல்லாமை மற்றதன்
பின்சாரப் பொய்யாமை நன்று."
324,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.9 கொல்லாமை,"நல்லாறு எனப்படுவது யாதெனின் யாதொன்றும்
கொல்லாமை சூழும் நெறி."
325,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.9 கொல்லாமை,"நிலைஅஞ்சி நீத்தாருள் எல்லாம் கொலைஅஞ்சிக்
கொல்லாமை சூழ்வான் தலை."
326,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.9 கொல்லாமை,"கொல்லாமை மேற்கொண் டொழுகுவான் வாழ்நாள்மேல்
செல்லாது உயிருண்ணுங் கூற்று."
327,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.9 கொல்லாமை,"தன்னுயிர் நீப்பினும் செய்யற்க தான்பிறிது
இன்னுயிர் நீக்கும் வினை."
328,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.9 கொல்லாமை,"நன்றாகும் ஆக்கம் பெரிதெனினும் சான்றோர்க் குக்
கொன்றாகும் ஆக்கங் கடை."
329,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.9 கொல்லாமை,"கொலைவினைய ராகிய மாக்கள் புலைவினையர்
புன்மை தெரிவா ரகத்து."
330,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.9 கொல்லாமை,"உயிர் உடம்பின் நீக்கியார் என்ப செயிர் உடம்பின்
செல்லாத்தீ வாழ்க்கை யவர்."
331,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.10 நிலையாமை,"நில்லாத வற்றை நிலையின என்றுணரும்
புல்லறி வாண்மை கடை."
332,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.10 நிலையாமை,"கூத்தாட்டு அவைக் குழாத் தற்றே பெருஞ்செல்வம்
போக்கும் அதுவிளிந் தற்று."
333,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.10 நிலையாமை,"அற்கா இயல்பிற்றுச் செல்வம் அதுபெற்றால்
அற்குப ஆங்கே செயல்."
334,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.10 நிலையாமை,"நாளென ஒன்றுபோற் காட்டி உயிர் ஈரும்
வாளது உணர்வார்ப் பெறின்."
335,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.10 நிலையாமை,"நாச்செற்று விக்குள்மேல் வாராமுன் நல்வினை
மேற்சென்று செய்யப் படும்"
336,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.10 நிலையாமை,"நெருநல் உளனொருவன் இன்றில்லை என்னும்
பெருமை உடைத்துஇவ் வுலகு."
337,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.10 நிலையாமை,"ஒருபொழுதும் வாழ்வது அறியார் கருதுப
கோடியும் அல்ல பல."
338,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.10 நிலையாமை,"குடம்பை தனித்து ஒழியப் புள்பறந் தற்றே
உடம்பொடு உயிரிடை நட்பு."
339,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.10 நிலையாமை,"உறங்கு வதுபோலுஞ் சாக்காடு உறங்கி
விழிப்பது போலும் பிறப்பு."
340,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.10 நிலையாமை,"புக்கில் அமைந்தின்று கொல்லோ உடம்பினுள்
துச்சில் இருந்த உயிர்க்கு."
341,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.11 துறவு,"யாதனின் யாதனின் நீங்கியான் நோதல்
அதனின் அதனின் இலன்."
342,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.11 துறவு,"வேண்டின் உண் டாகத் துறக்க துறந்தபின்
ஈண்டுஇயற் பால பல."
343,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.11 துறவு,"அடல்வேண்டும் ஐந்தன் புலத்தை விடல்வேண்டும்
வேண்டிய வெல்லாம் ஒருங்கு."
344,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.11 துறவு,"இயல்பாகும் நோன்பிற்கொன்று இன்மை உடைமை
மயலாகும் மற்றும் பெயர்த்து."
345,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.11 துறவு,"மற்றும் தொடர்ப்பாடு எவன்கொல் பிறப்பறுக்கல்
உற்றார்க்கு உடம்பும் மிகை."
346,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.11 துறவு,"யான் எனது என்னும் செருக்கு அறுப்பான் வானோர்க்கு
உயர்ந்த உலகம் புகும்."
347,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.11 துறவு,"பற்றி விடாஅ இடும்பைகள் பற்றினைப்
பற்றி விடாஅ தவர் க்கு."
348,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.11 துறவு,"தலைப்பட்டார் தீரத் துறந்தார் மயங்கி
வலைப்பட்டார் மற்றை யவர்."
349,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.11 துறவு,"பற்றற்ற கண்ணே பிறப்பறுக்கும் மற்று
நிலையாமை காணப் படும்."
350,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.11 துறவு,"பற்றுக பற்றற்றான் பற்றினை அப்பற்றைப்
பற்றுக பற்று விடற்கு."
351,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.12 மெய்யுணர்தல்,"பொருளல்ல வற்றைப் பொருளென்று உணரும்
மருளானாம் மாணாப் பிறப்பு."
352,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.12 மெய்யுணர்தல்,"இருள்நீங்கி இன்பம் பயக்கும் மருள்நீங்கி
மாசறு காட்சி யவர்க்கு."
353,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.12 மெய்யுணர்தல்,"ஐயத்தின் நீங்கித் தெளிந்தார்க்கு வையத்தின்
வானம் நணிய துடைத்து."
354,1. அறத்துப்பால்,1.3 துறவறவியல்,1.3.12 மெய்யுணர்தல்,"ஐயுணர்வு எய்தியக் கண்ணும் பயமின்றே
மெய்யுணர்வு இல்லா தவர்க்கு."
